match_year,match_round,team,team_rank,team_points,team_goal_difference,team_goal_fatti,team_goal_subiti
2017,31,Liverpool,4,60,34,68,34
2017,31,Chelsea,5,56,25,52,27
2017,31,Arsenal,6,48,14,55,41
2017,31,Burnley,7,43,1,27,26
2017,31,Leicester,8,40,2,45,43
2017,31,Everton,9,37,-14,35,49
2017,31,Watford,10,36,-11,39,50
2017,31,Brighton,11,34,-12,28,40
2017,31,Bournemouth,12,33,-13,35,48
2017,31,Newcastle,13,32,-10,30,40
2017,31,Swansea,14,31,-17,25,42
2017,31,Huddersfield,15,31,-25,25,50
2017,31,West Ham,16,30,-21,36,57
2017,31,Southampton,17,28,-15,29,44
2017,31,Crystal Palace,18,27,-20,28,48
2017,31,Stoke City,19,27,-28,28,56
2017,31,West Brom,20,20,-24,23,47
2017,32,Man City,1,84,67,88,21
2017,32,Man Utd,2,66,35,58,23
2017,32,Spurs,3,64,35,60,25
2017,32,Liverpool,4,63,39,73,34
2017,32,Chelsea,5,59,26,54,28
2017,32,Arsenal,6,48,12,56,44
2017,32,Leicester,7,43,4,48,44
2017,32,Burnley,8,43,0,28,28
2017,32,Everton,9,40,-13,37,50
2017,32,Bournemouth,10,36,-12,37,49
2017,32,Watford,11,36,-16,39,55
2017,32,Brighton,12,34,-14,29,43
2017,32,Newcastle,13,32,-11,30,41
2017,32,Southampton,14,31,-14,30,44
2017,32,Swansea,15,31,-18,25,43
2017,32,West Ham,16,31,-21,36,57
2017,32,Huddersfield,17,31,-27,25,52
2017,32,Crystal Palace,18,30,-18,30,48
2017,32,Stoke City,19,27,-29,29,58
2017,32,West Brom,20,20,-25,24,49
2017,33,Man City,1,87,69,91,22
2017,33,Man Utd,2,69,37,60,23
2017,33,Spurs,3,67,37,63,26
2017,33,Liverpool,4,66,40,75,35
2017,33,Chelsea,5,59,24,55,31
2017,33,Arsenal,6,51,15,59,44
2017,33,Leicester,7,46,6,50,44
2017,33,Burnley,8,46,1,30,29
2017,33,Everton,9,40,-15,38,53
2017,33,Bournemouth,10,37,-12,39,51
2017,33,Watford,11,37,-16,41,57
2017,33,Newcastle,12,35,-10,31,41
2017,33,Brighton,13,34,-16,29,45
2017,33,West Ham,14,34,-18,39,57
2017,33,Southampton,15,31,-17,30,47
2017,33,Swansea,16,31,-20,25,45
2017,33,Huddersfield,17,31,-28,25,53
2017,33,Crystal Palace,18,30,-19,31,50
2017,33,Stoke City,19,27,-32,29,61
2017,33,West Brom,20,20,-26,25,51
2017,34,Man City,1,87,68,93,25
2017,34,Man Utd,2,72,38,63,25
2017,34,Spurs,3,70,38,65,27
2017,34,Liverpool,4,67,40,75,35
2017,34,Chelsea,5,60,24,56,32
2017,34,Arsenal,6,54,16,62,46
2017,34,Burnley,7,49,2,32,30
